"mz","MDL_3.7","ResPow","refe","m1","SE","Sample1_masslistsMGC2101810_LSt_MA_FTMS_PB_4_01_1-2-13_1_21358.csv","Sample2_masslistsMGC2101810_LSt_MA_FTMS_PB_4_02_1-2-13_1_21368.csv","Sample3_masslistsMGC2101810_LSt_MA_FTMS_PB_4_03_1-2-13_1_21378.csv","Sample4_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-6_1_21280.csv","Sample5_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_01_1-2-8_1_21306.csv","Sample6_masslistsMGC2101821_LSt_MA_FTMS_STD1_B1_02_1-2-6_1_21290.csv","Sample7_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_02_1-2-8_1_21314.csv","Sample8_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-6_1_21298.csv","Sample9_masslistsMGC2101821_LSt_MA_FTMS_STD1_B2_03_1-2-8_1_21324.csv"
151.255482725648,3419277.89198294,1166067,NA,151.2554878,NA,NA,NA,NA,NA,NA,3433259,NA,NA,NA
152.011518798042,3419831.0642708,1339614.5,NA,152.011523346192,0.118551046165157,NA,NA,NA,NA,NA,4462473,NA,4535276,NA
152.108090114333,3419831.0642708,1419669,NA,152.1080897,NA,NA,4157791,NA,NA,NA,NA,NA,NA,NA
152.872038778515,3420384.32605112,1290137.33333333,NA,152.872038778515,0.0107685341660871,NA,NA,NA,NA,8787895,NA,9656179,NA,8630784
152.883697848146,3420384.32605112,1259555.11111111,NA,152.883699288452,0.0236278290981035,21661472,21784004,21702304,9253692,36235192,10929146,34604916,8415320,35924480
153.019324050022,3420384.32605112,1386701,153.01933204617,153.019328616236,0.0548867457352336,NA,NA,NA,NA,NA,3738637,NA,4452458,NA
153.05571938547,3420384.32605112,1343547,153.05571742661,153.055722821834,0.0419591641604371,3826489,3443163,NA,5040978,NA,5057554,NA,5280879,NA
153.092099757067,3420384.32605112,1288547.83333333,153.09210280705,153.092102999533,0.0450173013527441,4392766,4928992,5430971,9487191,NA,9212951,NA,8056948,NA
153.12849478606,3420384.32605112,1287871.77777778,NA,153.128496976799,0.0721665481835914,14874435,14816740,15722176,11828059,4738008,11768860,4668307,11241592,3735074
153.868592316543,3420937.67733838,1299981.83333333,NA,153.868594273143,0.0365900053450575,NA,NA,NA,5995453,15366203,5727364,14280690,7094492,13458056
154.08735401127,3420937.67733838,1286962.83333333,NA,154.087356847031,0.015980168106343,5854158,4857451,6033223,4307931,NA,4421796,NA,4006138,NA
154.123738963164,3420937.67733838,1221792.5,NA,154.12374176886,0.0332508156813479,12146643,13670000,13907788,10990559,NA,10017961,NA,9027839,NA
154.869092747063,3421491.11814705,1384915.33333333,NA,154.869092747063,0.0149259292231031,NA,NA,NA,NA,4989130,NA,4890747,NA,5679898
154.88074469732,3421491.11814705,1312922.16666667,NA,154.880745108179,0.0301915756137703,7604296,6821601,7878590,NA,11847884,NA,11696253,NA,11574043
154.918728083047,3421491.11814705,1251659.33333333,NA,154.918729577472,0.0301647194785555,17328206,16463590,16017347,5088336,15005905,5385505,14690434,6019442,14428961
154.990523137389,3421491.11814705,1268704.33333333,NA,154.990528128101,0.00441091958371178,NA,NA,NA,13032538,NA,12715308,NA,13097341,NA
155.07137231246,3421491.11814705,1292991,155.07136742661,155.071375465755,0.0412770217265005,4806758,3812094,4794331,6575206,NA,6536505,NA,5779849,NA
155.107752764453,3421491.11814705,1298256.85714286,155.10775280705,155.107755352926,0.0276610023231004,6209644,7384835,6727649,6859883,NA,6655295,NA,5288334,3504958
155.865635545151,3422044.64849162,1393516.16666667,NA,155.865637572629,0.0264126937647183,NA,NA,NA,4611293,9574753,4199864,10285324,4196867,8833973
156.102999366034,3422044.64849162,1263634.22222222,NA,156.10300136026,0.0224354399923761,25315600,24422306,25405568,15170817,9435527,14886368,9441584,14088744,8590299
156.139382711501,3422044.64849162,1288199.5,NA,156.139384199686,0.00190976010742924,4118806,NA,4067463,NA,NA,NA,NA,NA,NA
156.915774528103,3422598.26838658,1301953.5,NA,156.915774948255,0.0380984634589344,6726046,6901804,5699851,NA,5687820,NA,5628336,NA,4338787
156.987573018921,3422598.26838658,1350341,NA,156.987578096757,0.0519629772935288,NA,NA,NA,4151695,NA,3796599,NA,3926713,NA
156.996490982058,3422598.26838658,1274275,NA,156.9964967,NA,NA,NA,NA,3932560,NA,NA,NA,NA,NA
157.050625467761,3422598.26838658,1358571,157.05063204617,157.0506308,NA,NA,NA,NA,NA,NA,4533891,NA,NA,NA
157.087021120494,3422598.26838658,1305799.33333333,157.08701742661,157.087023289932,0.0334160094194134,11049405,9541705,12237096,8107423,3661352,9463433,4081099,8753866,3726465
157.123404486921,3422598.26838658,1266082.625,157.12340280705,157.123406403459,0.00786733891665736,23415236,24561744,27265326,6256037,NA,6764175,3906001,7504592,4995207
158.082270078567,3423151.9778464,1238948.44444444,NA,158.082272582051,0.0272976935794043,20757110,20007164,20089308,34958920,8815317,34203452,8735345,31017846,8877361
158.11865480905,3423151.9778464,1332203.5,NA,158.118655289026,0.0347674081582911,NA,3462402,3430883,NA,NA,NA,NA,NA,NA
158.84671913197,3423705.77688558,1273093,NA,158.84672144472,0.0222872626623811,NA,NA,NA,9449168,12053344,7561168,13421302,8680450,13163968
158.934556763676,3423705.77688558,1215692,NA,158.934557515577,0.00313479550344297,14035740,15096220,17201790,NA,NA,NA,NA,NA,NA
